label,Status,description,longitude,latitude,Tenure,Total Principal Project Units,Final BMR On-Site,Final BMR Off-Site,Total inclusionary units at this location,Units For,Principal project triggering inclusionary requirement,Entitlement year,Building completion year
Sierra Heights,Completed,"639 Missouri Street , San Francisco, CA 94107",-122.395964,37.75806978,Ownership,67,7,0,7,On-Site,Sierra Heights,2001,2006
75 Moss Street,Completed,"75 Moss Street, San Francisco, CA",-122.4076525,37.77758484,Ownership,14,1,0,1,On-Site,75 Moss Street,2007,2008
574 Natoma Street,Completed,"574 Natoma Street, San Francisco, CA 94103",-122.4094465,37.7789135,Ownership,10,2,0,2,On-Site,574 Natoma Street,2011,2012
537 Natoma Street,Completed,"537 Natoma Street, San Francisco, CA 94103",-122.4084623,37.77944836,Ownership ,13,1,0,1,On-Site,537 Natoma Street,2011,2013
74 New Montgomery Street,Completed,"74 New Montgomery, San Francisco, CA 94105",-122.400991,37.78772962,Ownership,107,11,0,11,On-Site,74 New Montgomery Street,2005,2008
Portola Place,Completed,"2601 Newhall Street, San Francisco, CA 94124",-122.3979111,37.72921387,Ownership,259,24,0,24,On-Site,Portola Place,1992,1996
70 Ocean,Completed,"98 Ocean Avenue, San Francisco, CA 94112",-122.438667,37.723698,Rental,20,2,0,2,On-Site,70 Ocean,1998,2000
OceanView Terrace,Completed,"8100 Oceanview Terrace, San Francisco, CA",-122.466307,37.710589,Ownership,15,2,0,2,On-Site,OceanView Terrace,2002,2003
1355 Pacific Avenue ,Completed,"1355 Pacific Avenue , San Francisco, CA 94109",-122.4171856,37.79551965,Ownership,23,2,0,2,On-Site,1355 Pacific Avenue ,2008,2010
1645 Pacific Avenue,First Const Doc Issued,"1645 Pacific Avenue , San Francisco, CA 94109",-122.4223203,37.79484922,Ownership,38,5,0,5,On-Site,1645 Pacific Avenue,2010,
The Hayes,Completed,"55 Page Street, San Francisco, CA 94102",-122.4214986,37.77411667,Ownership,128,17,0,17,On-Site,The Hayes,2000,2008
725 Pine Street ,Completed,"725 Pine Street , San Francisco, CA 94108",-122.4077523,37.79116033,Ownership,22,2,0,2,On-Site,725 Pine Street ,2006,2007
101 Polk Street,Entitled,"101 Polk Street, San Francisco, CA 94102",-122.418171,37.77762,Rental,162,19,0,19,On-Site,101 Polk Street,2013,
Tower Plaza,Completed,"600 Portola, San Francisco, CA 94127",-122.451913,37.745595,Rental,15,2,0,2,On-Site,Tower Plaza,2000,2003
949 Post Street,Completed,"949 Post Street , San Francisco, CA 94109",-122.4174766,37.78705549,Rental,24,24,0,24,On-Site,949 Post Street,1997,1999
Lofts@One Powell (10 Cyril Magnin),Completed,"1 Powell Street , San Francisco, CA 94102",-122.407824,37.784808,Rental,40,4,0,4,On-Site,Lofts@One Powell (10 Cyril Magnin),2003,2005
Northpoint Apartments,Completed,"2351 Powell Street, San Francisco, CA",-122.4121494,37.80628553,Rental,72,9,0,9,On-Site,Northpoint Apartments,2004,2006
300 - 314 Randolph Street,Entitled,"300 Randolph Street, San Francisco, CA",-122.465457,37.714368,Unknown,18,2,0,2,On-Site,300 - 314 Randolph Street,2007,
The Potrero,Completed,"450 Rhode Island St, San Francisco, CA",-122.4026055,37.76412547,Ownership,165,20,0,20,On-Site,The Potrero,2003,2007
Mission Terrace Condominiums,Completed,"1800 San Jose Avenue, San Francisco, CA",-122.440521,37.728825,Ownership,18,2,0,2,On-Site,Mission Terrace Condominiums,2001,2004
1301 San Jose/Glen Court,Completed,"1301 San Jose Avenue, San Francisco, CA 94112",-122.429645,37.734188,Ownership,31,3,0,3,On-Site,1301 San Jose/Glen Court,1996,2003
The Royal,Completed,"201 Sansome Street, San Francisco, CA 94104",-122.40106,37.792217,Ownership,46,5,0,5,On-Site,The Royal,2004,2006
3190 Scott Street,Completed,"3190 Scott Street, San Francisco, CA 94123",-122.4408403,37.79905043,Ownership,12,1,0,1,On-Site,3190 Scott Street,2006,2010
550 South Van Ness Ave,Completed,"550 South Van Ness Avenue, San Francisco, CA 94110",-122.4175117,37.76435757,Ownership,36,8,0,8,On-Site,550 South Van Ness Ave,1989,1992
140 South Van Ness / 1655 Mission,Completed,"140 South Van Ness Avenue, San Francisco, CA",-122.4185931,37.77231875,Ownership,223,23,0,23,On-Site,140 South Van Ness / 1655 Mission,1999,2003
566 South Van Ness Avenue,Completed,"566 South Van Ness Avenue, San Francisco, CA 94110",-122.4174901,37.76413471,Ownership,34,4,0,4,On-Site,566 South Van Ness Avenue,2005,2007
793 South Van Ness Avenue,Entitled,"793 South Van Ness Avenue, San Francisco, CA 94110",-122.416942,37.76057896,Unknown,29,3,0,3,On-Site,793 South Van Ness Avenue,2008,
2000 Post III,Completed,"2161 Sutter Street, San Francisco, CA 94115",-122.4358705,37.78567153,Rental,24,3,0,3,On-Site,2000 Post III,2003,2007
1158 Sutter Street,Completed,"1158 Sutter Street, San Francisco, CA 94108",-122.4194304,37.78792739,Ownership,14,2,0,2,On-Site,1158 Sutter Street,2005,2008
