label,latitude,longitude,accuracy,status
1490 Ocean Avenue 94112,37.724563,-122.457814,9,Entitled
1150 Ocean Avenue 94112,37.723831,-122.454781,9,Completed
8100 Oceanview Terrace 94127,37.7105,-122.467775,9,Completed
4-20 Octavia Blvd. 94102,37.772337,-122.423834,8,First Const Doc Issued
1355 Pacific Avenue 94109,37.795296,-122.417541,9,Completed
1645 Pacific Avenue 94109,37.794657,-122.422326,9,First Const Doc Issued
55 Page Street 94102,37.773982,-122.421936,9,Completed
Parcel P 94102,52.204448,22.695461,5,First Const Doc Issued
1461 Pine Street 94109,37.789442,-122.419739,9,Completed
725 Pine Street 94108,37.791014,-122.407697,9,Completed
1 Polk Street 94102,37.776819,-122.418418,9,Completed
101 Polk Street 94102,37.777516,-122.418084,8,Entitled
1946 Polk Street (AKA 1591 or 1596 Pacific) 94109,37.792979,-122.421242,3,Completed
600 Portola 94127,37.745414,-122.452537,9,Completed
949 Post Street 94109,37.786884,-122.417433,9,Completed
480 Potrero 94110,37.763478,-122.407671,9,BP Issued
1 Powell Street 94102,37.784695,-122.408189,9,Completed
150 Powell Street 94102,37.786192,-122.407571,9,Completed
2351 Powell Street 94133,37.80631,-122.41229,9,Completed
1731 Powell Street 94133,37.80066,-122.411303,9,Entitled
300 - 314 Randolph Street 94132,37.714495,-122.465925,9,Entitled
450 Rhode Island (aka 450 Kansas) 94107,37.761824,-122.398587,3,Completed
1 Rincon Hill (aka 425 First Street - Tower One Only) 94105,37.789018,-122.391506,3,Completed
1 Rincon Hill (aka 425 First/401Harrison St) 94105,37.789018,-122.391506,3,First Const Doc Issued
246 Ritch Street 94107,37.780247,-122.395805,9,Completed
2895 San Bruno Avenue 94134,37.725541,-122.402449,9,BP Issued
1800-1820 San Jose (aka 8-18 Colonial and 305-315 Santa Rosa) 94112,37.278858,-121.826029,8,Completed
1301 San Jose Avenue (aka Bosworth or Milton) 94112,37.722549,-122.441062,3,Completed
201 Sansome Street 94104,37.792231,-122.401228,9,Completed
3190 Scott Street 94123,37.799048,-122.440649,9,Completed
2900 Sloat (aka Wawona) 94116,37.743242,-122.497668,3,Completed
2800 Sloat Blvd. 94116,37.735901,-122.50485,9,Entitled
1 South Park Avenue 94107,37.782069,-122.392744,9,Completed
550 South Van Ness Avenue 94110,37.76431,-122.417613,9,Completed
140 South Van Ness Avenue 94103,37.771627,-122.418559,9,Completed
566 South Van Ness Avenue 94110,37.763992,-122.41782,9,Completed
793 South Van Ness Avenue 94110,37.760673,-122.416701,9,Entitled
"300 Spear Street (aka 160 Harrison, 301 Main) 94105",37.789018,-122.391506,3,Completed
1 Stanyan Street 94118,37.781303,-122.456297,8,Entitled
527-529 Stevenson Street 94103,37.781241,-122.410371,8,First Const Doc Issued
1285 Sutter Street 94109,37.787336,-122.421184,9,Completed
2161 Sutter Street 94115,37.785551,-122.435855,9,Completed
1158 Sutter Street 94108,37.7895,-122.4077,9,Completed
1080 Sutter Street 94109,37.788179,-122.417962,9,Completed
832 Sutter Street 94109,37.788569,-122.414107,8,Entitled
693 Sutter Street 94102,37.788663,-122.411648,9,BP Issued
723 Taylor Street 94108,37.789195,-122.412202,9,Completed
41 Tehama Street 94105,37.787235,-122.396277,9,Entitled
475 Tehama Street (aka 470 Clementina) 94103,37.77264,-122.409915,3,Completed
675 Townsend (aka 660 King or 701 8th Street) 94103,37.770059,-122.403535,9,Completed
310 Townsend Street 94107,37.777026,-122.39574,9,Completed
88 Townsend Street 94107,37.78094,-122.390505,9,Completed
178 Townsend Street 94107,37.779527,-122.392291,9,Completed
177 Townsend Street (aka 170 King Street) 94107,37.778811,-122.391371,9,Completed
899 Valencia Street 94110,37.758507,-122.421269,8,First Const Doc Issued
1050 Valencia Street 94110,37.755944,-122.421318,9,BP Issued
286 Valencia Street 94103,37.768304,-122.422531,9,Completed
222 Valencia Street 94103,37.769443,-122.422623,9,Completed
299 Valencia Street 94110,37.768269,-122.422078,9,Completed
411 Valencia Street 94410,37.766304,-122.422018,8,Completed
270-284 Valencia Street 94103,37.768353,-122.422265,8,Completed
2655 Van Ness Avenue 94109,37.80014,-122.424632,9,Completed
1868 Van Ness Avenue 94109,37.792799,-122.422751,8,Completed
1901 Van Ness Avenue 94109,37.793091,-122.422999,8,Completed
900 Van Ness Avenue 94109,37.784052,-122.420642,9,Completed
750 Van Ness Avenue 94102,37.782427,-122.420573,9,Completed
77 Van Ness Avenue 94103,37.773828,-122.418664,9,Completed
1800 Van Ness Avenue 94109,37.792549,-122.422292,9,Completed
818 Van Ness Avenue 94109,37.783203,-122.420568,9,Completed
2601 Van Ness Avenue 94109,37.799662,-122.424617,9,Entitled
2559 Van Ness Avenue 94109,37.79921,-122.424482,9,First Const Doc Issued
100 Van Ness Avenue 94102,37.776721,-122.419177,9,First Const Doc Issued
929 Vermont Street 94107,37.757839,-122.40335,9,Completed
1840 Washington Street 94109,37.793212,-122.423746,9,Completed
1725 Washington Street 94109,37.792924,-122.421729,9,Completed
53 Wilder Street 94131,37.733981,-122.433437,9,Completed
