Proj_Key,label,Address Number,Street,Zipcode,description,longitude,latitude,geo_accuracy,Sponsor,Affordable Units,Beds,Target Population,status,Affordability Requirement Year
1012,HOTEL ISABEL,1091-1099,MISSION ST,94103,1091-1099 MISSION ST San Francisco CA 94103,-122.410937,37.779212,0.858,TODCO,75,0,Singles,Completed,1999
1015,Leland House,141,Leland,94134,141 Leland San Francisco CA 94134,-122.406192,37.712106,0.849,Mercy Housing,45,45,Singles,Completed,1997
1016,GABREILA APARTMENTS,583,Natoma St,94103,583 Natoma St San Francisco CA 94103,-122.409374,37.778633,0.958,HDNPC,29,0,Families,Completed,1996
1017,Glenridge Apartments,9,Berkeley Way,94131,9 Berkeley Way San Francisco CA 94131,-122.436858,37.738738,0.951,Glenridge Apartments Resident Council,275,0,Families,Completed,1996
1020,Columbia Park Apartments,1035,Folsom St,94103,1035 Folsom St San Francisco CA 94103,-122.40641,37.777929,0.836,Mercy Housing,50,0,Families,Completed,1993
1021,ROSE HOTEL,125,6th St,94103,125 6th St San Francisco CA 94103,-122.408309,37.780675,0.884,MERCY HOUSING,74,0,Singles,Completed,1997
1024,PRINCE HALL APARTMENTS,1170,MCALLISTER ST,94115,1170 MCALLISTER ST San Francisco CA 94115,-122.431154,37.778768,0.949,BETHEL AFRICAN METHODIST EPISCOPAL CHURCH,91,0,Families,Completed,1998
1027,West Hotel,145,Eddy St,94102,145 Eddy St San Francisco CA 94102,-122.409889,37.784178,0.963,TNDC,107,0,Singles,Completed,2004
1028,Ambassador Hotel,55,Mason,94102,55 Mason San Francisco CA 94102,-122.409223,37.783925,0.859,TNDC,134,0,Singles,Completed,2003
1031,Eugene Coleman Senior Community,328,Tehama St. / aka 827 Howard St.,94103,328 Tehama St. / aka 827 Howard St. San Francisco CA 94103,-122.403328,37.781929,0.958,TODCO,85,0,Seniors,Completed,2005
1032,Midori Hotel,240,Hyde,94102,240 Hyde San Francisco CA 94102,-122.415681,37.782978,0.847,Conard House,77,0,Singles,Completed,2001
1033,MAC's Children and Family Services,2168,Cayuga Ave,94112,2168 Cayuga Ave San Francisco CA 94112,-122.454347,37.710408,0.955,"MAC's Children and Family Services, Inc.",3,0,Singles,Completed,2000
1037,Alexander Residence,230,Eddy St,94102,230 Eddy St San Francisco CA 94102,-122.411361,37.78415,0.963,TNDC,178,0,Seniors,Completed,2004
1043,GOLDEN GATE APARTMENTS,1820,POST ST,94115,1820 POST ST San Francisco CA 94115,-122.431655,37.785402,0.963,CCDC,72,0,Families,Completed,2006
1044,Bayanihan House,88,6th St,94103,88 6th St San Francisco CA 94103,-122.408999,37.781043,0.884,TODCO,152,0,Singles,Completed,1999
1045,SUTTER APARTMENTS,1480,SUTTER ST,94109,1480 SUTTER ST San Francisco CA 94109,-122.424476,37.787242,0.958,GOUGH STREET LLC,67,0,Seniors,Completed,2000
1046,Bayview Commons,4445,3rd St,94124,4445 3rd St San Francisco CA 94124,-122.389559,37.737569,0.884,SFHDC,30,0,Families,Completed,2003
1047,ANTONIA MANOR,180,TURK ST,94102,180 TURK ST San Francisco CA 94102,-122.41184,37.783117,0.963,TNDC,132,0,Seniors,Completed,2004
1048,Larkin Street Assisted Care Program,129,Hyde St,94102,129 Hyde St San Francisco CA 94102,-122.415622,37.781907,0.963,Larkin Street Youth Services,12,12,Singles,Completed,1996
1049,Positive MATCH,1652,Eddy St,94115,1652 Eddy St San Francisco CA 94115,-122.434674,37.781182,0.963,BHNC,7,0,Families,Completed,2002
1051,Planetree Housing Program,152-154,Coleridge St,94110,152-154 Coleridge St San Francisco CA 94110,-122.419942,37.743346,0.854,HealthRIGHT360,11,0,Singles,Completed,1995
1060,A WOMANS PLACE,1049,HOWARD ST,94103,1049 HOWARD ST San Francisco CA 94103,-122.408272,37.778861,0.958,CATS,0,54,Singles,Completed,2010
1063,FILLMORE MARKETPLACE APARTMENTS,1223,WEBSTER ST,94115,1223 WEBSTER ST San Francisco CA 94115,-122.430803,37.781819,0.955,"FILLMORE MARKETPLACE ASSOCIATES, LP",120,0,Families,Completed,1993
1065,Hazel Betsey,3554,17th St,94110,3554 17th St San Francisco CA 94110,-122.425053,37.763173,0.898,BHNC,9,0,Singles,Completed,2002
1067,Maitri,401,Duboce Ave,94117,401 Duboce Ave San Francisco CA 94117,-122.429127,37.769456,0.955,Maitri,0,15,Singles,Completed,1997
1068,Eddy Street Apartments,1096,Eddy St,94109,1096 Eddy St San Francisco CA 94109,-122.42538,37.782347,0.963,Progress Foundation,21,0,Singles,Completed,1996
1069,GOOD SAMARITAN,1290-1294,POTRERO AVE,94110,1290-1294 POTRERO AVE San Francisco CA 94110,-122.406219,37.751726,0.856,MHDC,20,0,Families,Completed,1997
1072,1101 HOWARD STREET APARTMENTS,1101,HOWARD ST,94103,1101 HOWARD ST San Francisco CA 94103,-122.409387,37.777977,0.958,MERCY HOUSING,34,0,Families,Completed,1995
1073,FELL STREET APARTMENTS,333,Fell St,94102,333 Fell St San Francisco CA 94102,-122.423201,37.775807,0.963,Bridge Housing,82,0,Families,Completed,1994
1074,KNOX HOTEL,241,6th St,94103,241 6th St San Francisco CA 94103,-122.406529,37.779321,0.884,TODCO,140,0,Singles,Completed,1994
1076,1028 HOWARD STREET APARTMENTS,1028,HOWARD ST,94103,1028 HOWARD ST San Francisco CA 94103,-122.40782,37.779295,0.958,MERCY HOUSING,30,0,Families,Completed,1994
1080,Jordan Apartments,820,OFarrell Street,94109,820 OFarrell Street San Francisco CA 94109,-122.418178,37.785199,0.946,Conard House,55,0,Singles,Completed,2006
1081,214 Dolores Street,214,Dolores St,94103,214 Dolores St San Francisco CA 94103,-122.426677,37.765984,0.955,Baker Places,8,0,Singles,Completed,2002
1082,1761-65 PAGE STREET,1761,Page ST,94117,1761 Page ST San Francisco CA 94117,-122.44955,37.770527,0.963,Baker Places,16,0,Singles,Completed,1994
1083,Ferguson Place,1249,Scott ST,94115,1249 Scott ST San Francisco CA 94115,-122.437406,37.781243,0.96,Baker Places,,12,Singles,Completed,2005
1085,PRECITA HOUSE,416,PRECITA AVE,94110,416 PRECITA AVE San Francisco CA 94110,-122.411476,37.746815,0.953,BHNC,9,0,Singles,Completed,2002
1092,Broadway Family Apartments,150,Broadway,94111,150 Broadway San Francisco CA 94111,-122.40036,37.798727,0.96,CCDC,81,0,Families,Completed,2008
